loan_index,property_value,house_indicator,credit_score,married,num_dependents,education,annual_income,coapplicant_indicator,coapplicant_income,interest_rate,pmt,pmt_1,pmt_2,pmt_3,pmt_4,pmt_5,pmt_6,pmt_7,pmt_8,pmt_9,pmt_10,pmt_11,pmt_12,pmt_13,pmt_14,pmt_15,pmt_16,pmt_17,pmt_18,pmt_19,pmt_20,pmt_21,pmt_22,pmt_23,pmt_24,pmt_25,pmt_26,pmt_27,pmt_28,pmt_29,pmt_30
15,522920.65,0,663,0,0,Bachelors Degree,134103.86,0,,7.14,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59,34187.59
16,771748.54,1,698,0,0,Began Bachelors,136228.2,0,,7.05,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,50004.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2158974.2,0,614,0,1,Bachelors Degree,137964.59,1,121608.81,6.86,68617.43,68617.43,68617.43,68617.43,68617.43,68617.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,870235.95,1,642,0,1,High School,221642.12,1,140624.71,7.19,57177.95,57177.95,57177.95,57177.95,57177.95,57177.95,57177.95,57177.95,57177.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,423099.02,1,703,1,1,Began Bachelors,66276.18,1,85495.13,7.04,27386.51,27386.51,27386.51,27386.51,27386.51,27386.51,27386.51,27386.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1209396.33,1,712,1,0,Began Bachelors,190938.67,0,,7.02,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43,78125.43
21,742664.89,1,709,0,1,Graduate Degree,119259.83,1,92421.78,7.03,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33,48023.33
22,1291910.49,1,627,1,0,Graduate Degree,183956.95,0,,7.23,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9,85220.9
23,997147.77,1,526,1,1,Began Bachelors,68419.97,0,,7.09,32433.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1038232.85,1,665,0,1,Began Bachelors,96958.55,1,71248.66,6.74,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18,32597.18
25,771901.22,1,680,1,1,Bachelors Degree,245128.17,0,,7.1,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63,50264.63
26,394389.57,0,653,1,3,High School,124392.34,1,102872.31,7.17,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53,25861.53
27,907991.05,1,671,0,0,Bachelors Degree,102927.1,1,82533.59,7.12,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61,59244.61
28,1105062.38,1,573,0,1,Bachelors Degree,122915.74,0,,6.97,35513.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,780407.99,0,681,0,2,Bachelors Degree,115319.89,1,83218.4,7.1,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,50818.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2144251.25,1,675,1,0,Began Bachelors,180735.44,1,122838.1,6.71,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5,67116.5
31,273902.54,0,703,1,2,Began Bachelors,43623.52,0,,7.04,17729.26,17729.26,17729.26,17729.26,17729.26,17729.26,17729.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,667074.84,1,745,0,1,Began Bachelors,189940.26,1,111493.2,6.94,42746.81,42746.81,42746.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,844167.6,1,644,0,0,Bachelors Degree,121799.63,0,,7.19,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15,55465.15
34,335683.76,0,682,1,0,Began Bachelors,49640.75,1,75186.87,7.1,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04,21859.04
35,629043.39,1,648,0,1,Bachelors Degree,85746.22,0,,7.18,41289.62,41289.62,41289.62,41289.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,585815.48,0,554,1,1,Bachelors Degree,71404.55,0,,7.41,39334.26,39334.26,39334.26,39334.26,39334.26,39334.26,39334.26,39334.26,39334.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1303500.65,0,703,0,1,Bachelors Degree,127767.98,1,100258.24,6.64,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65,40508.65
38,660533.46,1,697,0,1,Began Bachelors,96631.81,1,70126.84,7.06,42840.97,42840.97,42840.97,42840.97,42840.97,42840.97,42840.97,42840.97,42840.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,691615.45,1,605,1,2,High School,90924.13,0,,7.29,45893.75,45893.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1249837.24,1,687,0,1,Began Bachelors,199987.92,0,,7.08,81224.42,81224.42,81224.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,843123.26,1,593,0,0,Bachelors Degree,136242.29,1,98713.79,7.32,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,56113.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,376470.22,0,604,0,1,Graduate Degree,98130.53,0,,7.29,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56,24981.56
43,521665.39,0,619,1,1,Bachelors Degree,86212.55,1,96373.96,7.25,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84,34479.84
44,464751.29,1,672,0,0,High School,75416.18,1,85538.7,7.12,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1,30324.1
45,972401.38,1,711,1,2,Began Bachelors,235852.29,1,149891.67,7.02,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86,62815.86
46,484886.28,1,658,0,1,Bachelors Degree,139955.6,1,104256.68,7.15,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55,31732.55
47,1187807.34,1,720,0,0,Bachelors Degree,207098.9,1,147029.24,7,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9,76576.9
48,2133386.08,1,676,1,0,High School,120710.24,0,,6.71,66776.41,66776.41,66776.41,66776.41,66776.41,66776.41,66776.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,751525.1,0,645,0,1,Began Bachelors,93307.15,0,,7.19,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,49378.17,0
50,858886.16,1,717,0,1,Began Bachelors,210999.5,0,,7.01,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27,55427.27
51,370835.66,0,707,1,1,Began Bachelors,109963.81,0,,7.03,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54,23979.54
52,679345.4,1,652,0,1,Graduate Degree,129200.37,1,95924.17,7.17,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1,44547.1
53,559591.85,1,665,1,3,Bachelors Degree,66899.17,0,,7.14,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09,36585.09
54,598602.44,1,564,1,0,Graduate Degree,139465.38,1,108733.14,7.39,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17,40114.17
55,945347,1,589,0,1,Bachelors Degree,118326.53,1,94552.94,7.33,62978.38,62978.38,62978.38,62978.38,62978.38,62978.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1077126.97,1,699,0,1,Graduate Degree,152139.98,1,135314.55,7.05,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54,69790.54
57,887284.46,1,600,0,0,Began Bachelors,101428.25,1,110432.31,7.3,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,58935.91,0,0,0,0,0,0,0,0,0
58,1310226.26,1,600,0,0,Graduate Degree,234106.42,1,147828.41,7.3,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88,87028.88
59,1994508.45,1,642,0,1,Graduate Degree,162270.62,0,,6.8,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29,63005.29
60,1063272.65,1,737,1,0,High School,270245.44,0,,6.96,68273.02,68273.02,68273.02,68273.02,68273.02,68273.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,663801,1,632,1,1,Bachelors Degree,119559.37,1,89799.75,7.22,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3,43744.3
62,739558.11,1,680,0,1,Bachelors Degree,164224.61,0,,7.1,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51,48158.51
63,1295660.1,1,625,0,1,Graduate Degree,119149.21,1,126315.58,6.84,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78,41095.78
64,1485320.08,1,631,0,1,Began Bachelors,227924.07,0,,6.82,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85,47015.85
65,1958026.88,1,695,1,0,Began Bachelors,141170.08,1,105188.31,6.66,60974.35,60974.35,60974.35,60974.35,60974.35,60974.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,802719.6,1,723,1,0,Bachelors Degree,119755.33,1,114513.94,6.59,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92,24817.92
67,768135.82,1,658,0,0,Bachelors Degree,140998.37,1,141346.44,7.16,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36,50319.36
68,1735065.95,1,567,1,1,Bachelors Degree,225076.65,0,,6.98,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76,55816.76
69,2793307.75,0,708,1,1,Began Bachelors,248278.88,0,,6.63,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93,86717.93
70,1951724.7,1,688,1,1,Bachelors Degree,348403.05,0,,7.08,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68,126838.68
71,849266.06,1,719,0,1,Began Bachelors,203650.1,0,,7,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,54751.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,392179.06,1,635,1,1,Bachelors Degree,166579.4,1,112922.44,7.21,25818.89,25818.89,25818.89,25818.89,25818.89,25818.89,25818.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,929175.98,1,671,1,1,High School,96825.07,1,110411.07,7.12,60626.89,60626.89,60626.89,60626.89,60626.89,60626.89,60626.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1947067.04,1,701,1,2,Graduate Degree,313755.89,0,,7.05,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78,126156.78
75,735496.26,1,708,1,2,Bachelors Degree,191283.75,0,,7.03,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78,47559.78
76,687670.82,1,702,0,1,Began Bachelors,155567.18,1,113361.87,7.05,44556.42,44556.42,44556.42,44556.42,44556.42,44556.42,44556.42,44556.42,44556.42,44556.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,406289.89,0,575,1,3,Bachelors Degree,124346.64,1,103522.11,7.36,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7,27146.7
78,900120.59,0,723,0,1,Began Bachelors,122958.17,1,74722.38,6.99,57971.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,814498.41,1,658,1,1,High School,94152.7,1,112686.02,7.16,53356.5,53356.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,375167.48,1,706,1,2,Began Bachelors,68850.74,1,102406.14,7.03,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65,24259.65
